"Year","Sector","Consumption (MWh)"
1983,"Transport",232500018.6
1983,"Electricity Supply",230472240.7
1983,"Manufacturing",236861130.1
1983,"Mining",20861112.78
1983,"Residential",75888894.96
1983,"Commercial",29027780.1
1983,"Other",41805558.9
1984,"Transport",240027797
1984,"Electricity Supply",235166685.5
1984,"Manufacturing",246611130.8
1984,"Mining",23111112.96
1984,"Residential",76666672.8
1984,"Commercial",29333335.68
1984,"Other",43833336.84
1985,"Transport",247805575.4
1985,"Electricity Supply",250250020
1985,"Manufacturing",259527798.5
1985,"Mining",26916668.82
1985,"Residential",78361117.38
1985,"Commercial",30527780.22
1985,"Other",42944447.88
1986,"Transport",251750020.1
1986,"Electricity Supply",248944464.4
1986,"Manufacturing",261000020.9
1986,"Mining",27194446.62
1986,"Residential",80111117.52
1986,"Commercial",32250002.58
1986,"Other",43888892.4
1987,"Transport",256138909.4
1987,"Electricity Supply",260972243.1
1987,"Manufacturing",268333354.8
1987,"Mining",29166669
1987,"Residential",82805562.18
1987,"Commercial",34138891.62
1987,"Other",44666670.24
1988,"Transport",268333354.8
1988,"Electricity Supply",267361132.5
1988,"Manufacturing",274527799.7
1988,"Mining",32416669.26
1988,"Residential",82277784.36
1988,"Commercial",35944447.32
1988,"Other",45527781.42
1989,"Transport",279138911.2
1989,"Electricity Supply",291000023.3
1989,"Manufacturing",289166689.8
1989,"Mining",35916669.54
1989,"Residential",83750006.7
1989,"Commercial",37972225.26
1989,"Other",47722226.04
1990,"Transport",281222244.7
1990,"Electricity Supply",296111134.8
1990,"Manufacturing",296500023.7
1990,"Mining",44416670.22
1990,"Residential",89527784.94
1990,"Commercial",40416669.9
1990,"Other",47861114.94
1991,"Transport",278611133.4
1991,"Electricity Supply",295833357
1991,"Manufacturing",298305579.4
1991,"Mining",45722225.88
1991,"Residential",91055562.84
1991,"Commercial",41972225.58
1991,"Other",45694448.1
1992,"Transport",284527800.5
1992,"Electricity Supply",303583357.6
1992,"Manufacturing",287194467.4
1992,"Mining",48944448.36
1992,"Residential",92944451.88
1992,"Commercial",42833336.76
1992,"Other",46277781.48
1993,"Transport",291555578.9
1993,"Electricity Supply",304555579.9
1993,"Manufacturing",296277801.5
1993,"Mining",52583337.54
1993,"Residential",96416674.38
1993,"Commercial",44111114.64
1993,"Other",48333337.2
1994,"Transport",300277801.8
1994,"Electricity Supply",308222246.9
1994,"Manufacturing",308055580.2
1994,"Mining",54055559.88
1994,"Residential",95666674.32
1994,"Commercial",45083336.94
1994,"Other",50277781.8
1995,"Transport",316472247.5
1995,"Electricity Supply",322944470.3
1995,"Manufacturing",314555580.7
1995,"Mining",59194449.18
1995,"Residential",99611119.08
1995,"Commercial",48027781.62
1995,"Other",51805559.7
1996,"Transport",328194470.7
1996,"Electricity Supply",336611138
1996,"Manufacturing",315388914.1
1996,"Mining",66000005.28
1996,"Residential",102333341.5
1996,"Commercial",51000004.08
1996,"Other",52000004.16
1997,"Transport",334166693.4
1997,"Electricity Supply",345583361
1997,"Manufacturing",320833359
1997,"Mining",68861116.62
1997,"Residential",104527786.1
1997,"Commercial",52666670.88
1997,"Other",54222226.56
1998,"Transport",336166693.6
1998,"Electricity Supply",374250029.9
1998,"Manufacturing",327583359.5
1998,"Mining",72638894.7
1998,"Residential",106527786.3
1998,"Commercial",55111115.52
1998,"Other",54833337.72
1999,"Transport",341250027.3
1999,"Electricity Supply",393222253.7
1999,"Manufacturing",331361137.6
1999,"Mining",72416672.46
1999,"Residential",106833341.9
1999,"Commercial",56861115.66
1999,"Other",54916671.06
2000,"Transport",351833361.5
2000,"Electricity Supply",396500031.7
